-1.018854e-001 -7.425161e-002 -1.429350e-002 -4.813991e-002 -3.475532e-002 -2.164427e-002 +3.261378e-002 -1.960026e-002 +5.080367e-002 +1.882957e-003 +3.067591e-003 +1.174550e-002 +2.244785e-003 -1.460255e-003 +5.159256e-003 -6.395533e+001 -2.622607e+002 -2.294530e+002 -1.218264e+002 -8.533988e+001 
-2.574971e-002 -1.165864e-001 +2.676301e-002 -1.044379e-001 -5.175537e-002 +7.541635e-002 -2.521213e-002 +2.733343e-003 +1.048119e-002 +7.524791e-003 +7.346261e-003 +6.014434e-006 -7.194227e-003 -4.095567e-004 +9.518963e-003 -2.387190e+001 -5.484500e+000 +5.939975e+001 +3.123166e+001 +1.352734e+001 
-1.231430e-002 +4.315050e-002 -9.133015e-002 +3.232655e-003 +6.351194e-003 -9.994452e-004 +5.271884e-002 +6.446414e-002 +3.633886e-002 -1.640431e-004 -8.542064e-003 +1.567124e-003 +1.065907e-002 -1.639337e-005 +1.471327e-003 +3.401953e+001 +5.916101e+001 -1.001019e+002 -1.371735e+002 -1.017522e+002 
-1.874417e-002 -7.547542e-002 -2.553964e-002 -1.198837e-001 -4.822393e-002 +8.797880e-002 +1.263135e-002 +5.599985e-002 +3.431775e-002 +6.520491e-003 -7.071474e-004 +1.088737e-003 +4.057749e-005 -1.000993e-003 +1.062848e-002 +1.407178e+001 +1.186415e+002 +7.986545e+001 +1.223372e+001 +1.220835e+001 
-2.157711e-003 -1.591012e-002 -1.005930e-002 -2.680938e-002 -1.532286e-001 -4.992463e-002 -4.555213e-002 +7.950663e-002 +2.110461e-002 +1.325054e-002 +1.222676e-002 -3.133493e-003 +2.745613e-003 +7.922937e-003 +7.471665e-003 +1.707274e+001 +2.985156e+001 -2.218673e+001 +8.931032e+001 +1.171222e+002 
-2.026143e-002 +4.236517e-002 +1.383257e-002 +6.308138e-002 -5.806149e-003 -1.309686e-001 +1.704484e-003 -3.259094e-002 +2.668743e-002 -6.791095e-004 +1.236555e-002 +1.163284e-002 +1.117538e-002 +6.100163e-003 -7.522615e-003 -1.194845e+001 -3.298225e+001 +2.774880e+000 -1.115613e+000 -1.205624e+001 
+1.390035e-002 -2.392028e-002 +9.888008e-003 +2.649574e-002 -1.424804e-002 +1.466022e-002 -8.623195e-002 +7.380811e-004 -3.107662e-002 +3.450854e-003 +1.591460e-002 -1.250351e-002 -8.453759e-003 +1.723085e-003 +6.987837e-004 -2.317315e+001 -1.464328e+002 -2.249348e+002 -2.986344e+002 -3.310782e+002 
-1.431554e-002 +8.981055e-003 +6.088249e-002 +3.573989e-002 +8.051955e-002 -1.404565e-002 +7.582410e-003 -1.526297e-001 -6.549794e-003 -1.338638e-002 +8.809904e-003 +1.923899e-002 -1.514921e-002 -6.150766e-003 -5.210695e-003 +4.888443e+001 +1.020743e+002 +7.131496e+001 +4.245768e+001 +3.824523e+001 
+2.720818e-002 +1.865804e-003 +1.260733e-002 +3.970108e-002 +2.680050e-002 +4.945474e-003 -1.955125e-002 -1.475866e-002 -1.005517e-001 +1.762580e-002 -6.688971e-003 -1.478016e-002 -1.527924e-002 +8.561847e-003 -6.300818e-003 -7.562858e+001 -2.577680e+002 -2.312231e+002 -1.523862e+002 -6.722539e+001 
-6.078926e-003 +9.595249e-003 -3.991532e-003 +2.772325e-003 +4.954763e-002 +4.454528e-002 -2.813285e-002 -5.742839e-003 +6.398902e-002 -2.562232e-001 +1.615931e-002 -2.775420e-002 +1.032574e-002 -2.803421e-002 -4.584052e-003 +8.929993e-001 -8.605427e-001 -2.429212e+001 -1.569000e+001 +1.077427e+002 
+3.214067e-002 +4.620077e-002 +8.710191e-003 +2.258685e-002 +5.663320e-002 +1.164076e-003 +1.138536e-001 -1.080989e-002 -1.640644e-001 +1.178556e-001 -1.072065e-001 +1.120519e-002 -8.548263e-003 +1.971011e-003 +1.806080e-003 -1.041978e+002 -4.248337e+002 +2.907004e+000 +5.978016e+002 +7.028167e+002 
+7.884512e-003 +3.529177e-002 -2.212137e-002 +4.396393e-002 +8.823438e-002 +1.043045e-001 -1.269091e-002 +6.331737e-002 +6.793202e-002 -1.674761e-001 -1.094692e-002 -1.278894e-001 +1.577913e-002 -3.007479e-002 -4.005453e-003 -1.502405e+002 -6.908711e+002 -3.398050e+002 -1.525702e+002 -2.788322e+002 
-1.059129e-003 -7.039740e-002 +2.482020e-002 -7.366638e-002 -6.497975e-002 +6.880246e-002 +1.979618e-002 -1.112848e-001 -1.537780e-001 +1.491231e-001 +1.880987e-003 +2.258922e-002 -1.276652e-001 +1.031964e-002 +8.411350e-003 +1.613350e+002 +1.827095e+002 -5.589948e+002 -1.032017e+002 +2.341781e+002 
-9.975924e-003 +6.458785e-002 +4.819044e-002 +9.017191e-002 +2.856122e-001 +2.501341e-001 -3.779705e-002 -1.796402e-001 +1.398152e-001 -3.834439e-001 -6.444110e-003 -5.314466e-002 -1.607854e-003 -1.778741e-001 -3.018463e-002 +5.536977e+001 +6.039830e+001 -1.190842e+002 +3.197966e+002 -2.293332e+002 
+3.906964e-002 +2.023340e-001 +1.326510e-001 +3.042137e-001 +4.079940e-001 -2.155323e-001 +6.582843e-002 -3.526027e-001 -1.008703e-001 -1.581633e-001 +1.382202e-002 +3.056152e-002 -1.928406e-002 -4.049422e-002 -1.592248e-001 -3.826116e+002 +1.174710e+002 -7.247121e+001 +1.997152e+001 -6.605298e-001 
-2.818570e-001 -3.822154e-001 +4.805907e-002 -3.454393e-001 -1.568085e-001 +1.566564e-001 -1.670261e-002 +5.728282e-002 +8.459737e-002 +2.843471e-002 +1.578200e-002 +1.346964e-002 -9.543567e-003 -1.274965e-003 +2.846635e-002 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-2.396556e-001 +1.219965e-002 +1.065036e-001 +1.211017e-001 +1.838766e-001 -1.630991e-001 +3.925239e-002 -3.130866e-001 +4.714715e-002 -5.841559e-002 +1.653262e-002 +4.865439e-002 -7.435900e-003 -1.471902e-002 -1.410078e-002 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-1.927926e-001 +1.096901e-001 -2.091768e-001 +1.801263e-002 -1.645010e-001 -2.177962e-001 +6.811700e-002 +1.511298e-001 +1.347551e-001 +8.023566e-002 -3.078105e-003 +3.407633e-002 +4.371270e-002 +1.822283e-002 +4.187575e-003 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-8.236783e-002 +6.062548e-002 -2.308509e-001 -9.129017e-002 +2.131953e-001 +1.623023e-001 +9.118254e-002 +8.003934e-002 +7.462841e-002 -1.638360e-001 -3.019117e-002 -1.542062e-002 +2.659896e-002 -3.206934e-002 +9.131323e-004 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
-1.676854e-002 +1.709478e-002 -1.115779e-001 -5.804720e-002 +2.682310e-001 +1.220796e-001 +5.973865e-002 -5.235130e-002 -8.525225e-002 +2.324141e-001 -5.035568e-002 +3.107686e-002 -1.658084e-002 +9.575154e-003 +7.878854e-004 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
